Restoran_Adi,Yorum,Restoran_Link,new_Yorum
Little Caesars Pizza (Maslak),Hamur normal hamur seçmeme rağmen çok inceydi ve çok kuruydu. Üstelik de soğuktu ama uzaklık sebebiyle bir nebze göz ardı edilebilir.,https://tgoyemek.com/restoranlar/284697,Hamur normal hamur seçmeme rağmen çok inceydi ve çok kuruydu. Üstelik de soğuktu ama uzaklık sebebiyle bir nebze göz ardı edilebilir.
Little Caesars Pizza (Maslak),turan bey ilgisinden dolayı teşekkür ederim sıcak lezzetli geldi,https://tgoyemek.com/restoranlar/284697,turan bey ilgisinden dolayı teşekkür ederim sıcak lezzetli geldi
Little Caesars Pizza (Maslak),bir pizza az yanikti,https://tgoyemek.com/restoranlar/284697,bir pizza az yanikti
Little Caesars Pizza (Maslak),bol malzeme tadı çok iyi. hamur kalındı malzemede boldu 1 orta pizza 1 kişi rahat doydu,https://tgoyemek.com/restoranlar/284697,bol malzeme tadı çok iyi. hamur kalındı malzemede boldu 1 orta pizza 1 kişi rahat doydu
Little Caesars Pizza (Maslak),"Ücretli ekstra biber koydurdum, üzerine bol koyun diye not düştüm, standart miktar koyulmuş. Pizzanin bir yarısında %50 daha çok peynir vardı. Bu sorunlar olmamalı",https://tgoyemek.com/restoranlar/284697,"Ücretli ekstra biber koydurdum, üzerine bol koyun diye not düştüm, standart miktar koyulmuş. Pizzanin bir yarısında %50 daha çok peynir vardı. Bu sorunlar olmamalı"
Little Caesars Pizza (Maslak),ben ticketla ödemeyi işaretledim işletmenin hatası yüzünden banka kartıyla ödeme yapmak zorunda kaldım ve ürün 1 saatte geldi kuryenin tutumuda hiç iyi değildi,https://tgoyemek.com/restoranlar/284697,ben ticketla ödemeyi işaretledim işletmenin hatası yüzünden banka kartıyla ödeme yapmak zorunda kaldım ve ürün 1 saatte geldi kuryenin tutumuda hiç iyi değildi
Little Caesars Pizza (Maslak),"güzeldi, sadece soğuk gelmişti.",https://tgoyemek.com/restoranlar/284697,"güzeldi, sadece soğuk gelmişti."
Little Caesars Pizza (Maslak),Çok doyurucu ve sıcak bir halde geldi. Kavurmalıyı ilk kez yedim ve gerçekten hoş bir tadı vardı.,https://tgoyemek.com/restoranlar/284697,Çok doyurucu ve sıcak bir halde geldi. Kavurmalıyı ilk kez yedim ve gerçekten hoş bir tadı vardı.
PizzaLazza (Ayazağa),Buz gibiydi ve yanlış gelmişti sosum ve patates kızartması soguk ve yumuşacıktı,https://tgoyemek.com/restoranlar/148917,Buz gibiydi ve yanlış gelmişti sosum ve patates kızartması soguk ve yumuşacıktı
PizzaLazza (Ayazağa),Pizza hamur gibi geldi malzeme çiğ gibiydi,https://tgoyemek.com/restoranlar/148917,Pizza hamur gibi geldi malzeme çiğ gibiydi
PizzaLazza (Ayazağa),Her zaman buradan sipariş ederim her zamanda memnunum sıcak ve taze geliyor,https://tgoyemek.com/restoranlar/148917,Her zaman buradan sipariş ederim her zamanda memnunum sıcak ve taze geliyor
PizzaLazza (Ayazağa),an itibari ile iki ortaboy pizza ve 1lt kola siparişimin sadece pizzalar geldi geri aramama rağmen 50 dakika geçti iki kere aramama rağmen kola gelmedi pizzalarin yarısını aç olduğumuz için yedik kalan yarışı buz gibi oldu ve hala gelmedi kola,https://tgoyemek.com/restoranlar/148917,an itibari ile iki ortaboy pizza ve 1lt kola siparişimin sadece pizzalar geldi geri aramama rağmen 50 dakika geçti iki kere aramama rağmen kola gelmedi pizzalarin yarısını aç olduğumuz için yedik kalan yarışı buz gibi oldu ve hala gelmedi kola
PizzaLazza (Ayazağa),Yemek geç teslim edilip yanlış yere bırakıldı. Kurye alandan ayrıldıktan sonra bıraktığı yeri söyledi. Çok sorumsuz,https://tgoyemek.com/restoranlar/148917,Yemek geç teslim edilip yanlış yere bırakıldı. Kurye alandan ayrıldıktan sonra bıraktığı yeri söyledi. Çok sorumsuz
PizzaLazza (Ayazağa),pizza sevmeyen ben bile bayılarak yedim az önce yine sipariş ettim inşallah çocuklarım beğenir 🫢 kampanya dan faydalanmak da ayrı bir lezzet,https://tgoyemek.com/restoranlar/148917,pizza sevmeyen ben bile bayılarak yedim az önce yine sipariş ettim inşallah çocuklarım beğenir 🫢 kampanya dan faydalanmak da ayrı bir lezzet
PizzaLazza (Ayazağa),İçecek siparişi verdim gelmedi iadesini rica ederim,https://tgoyemek.com/restoranlar/148917,İçecek siparişi verdim gelmedi iadesini rica ederim
PizzaLazza (Ayazağa),Orta boy küçük boy gibi ama fiyat performans biraz,https://tgoyemek.com/restoranlar/148917,Orta boy küçük boy gibi ama fiyat performans biraz
PizzaLazza (Ayazağa),Çok hızlı sıcak ve tazeydi not a dikkat edilmişti teşekkür ederim,https://tgoyemek.com/restoranlar/148917,Çok hızlı sıcak ve tazeydi not a dikkat edilmişti teşekkür ederim
PizzaLazza (Ayazağa),20 dk gösteriyordu 1 saatte geldi ve buz gibiydi iş yerinde ısıtamadımda soğuk yemek zorunda kaldım,https://tgoyemek.com/restoranlar/148917,20 dk gösteriyordu 1 saatte geldi ve buz gibiydi iş yerinde ısıtamadımda soğuk yemek zorunda kaldım
PizzaLazza (Ayazağa),İlk bakışta gerçekten güzel görünüyor ancak minimum sipariş tutarının 600 TL olması bu fırsattan yararlanmayı imkansız hale getiriyor. Var ama fiilen kullanılamıyor. Bu durum müşteriyi yanıltıcı hissettiriyor ve markaya olan güveni zedeliyor. Keşke daha uygulanabilir olsaydı.,https://tgoyemek.com/restoranlar/148917,İlk bakışta gerçekten güzel görünüyor ancak minimum sipariş tutarının 600 TL olması bu fırsattan yararlanmayı imkansız hale getiriyor. Var ama fiilen kullanılamıyor. Bu durum müşteriyi yanıltıcı hissettiriyor ve markaya olan güveni zedeliyor. Keşke daha uygulanabilir olsaydı.
PizzaLazza (Ayazağa),Şeftalili istediğim ice tea limonlu gelmiş ve patateslerin pazıları pişmemişti,https://tgoyemek.com/restoranlar/148917,Şeftalili istediğim ice tea limonlu gelmiş ve patateslerin pazıları pişmemişti
PizzaLazza (Ayazağa),Gayet iyiydi.,https://tgoyemek.com/restoranlar/148917,Gayet iyiydi.
PizzaLazza (Ayazağa),hamurları ince ve çok iyi,https://tgoyemek.com/restoranlar/148917,hamurları ince ve çok iyi
PizzaLazza (Ayazağa),bu kadar hızlı gelmesini beklemiyordum,https://tgoyemek.com/restoranlar/148917,bu kadar hızlı gelmesini beklemiyordum
PizzaLazza (Ayazağa),çeşitler çok iyi seçenekler güzel,https://tgoyemek.com/restoranlar/148917,çeşitler çok iyi seçenekler güzel
PizzaLazza (Ayazağa),severek yiyoruz baya kaliteli,https://tgoyemek.com/restoranlar/148917,severek yiyoruz baya kaliteli
PizzaLazza (Ayazağa),her lokması lezzetli,https://tgoyemek.com/restoranlar/148917,her lokması lezzetli
PizzaLazza (Ayazağa),Siparişimdeki malzemeler istediğim gibi değildi. Gelecek siparişlerde daha dikkatli olunmasını rica ederim.,https://tgoyemek.com/restoranlar/148917,Siparişimdeki malzemeler istediğim gibi değildi. Gelecek siparişlerde daha dikkatli olunmasını rica ederim.
PizzaLazza (Ayazağa),içeceklerin hepsi yanlış geldi. pizza soğuktu. fişin önemini özellikle belirtmeme rağmen gelmedi. pizzayı doğru gönderdikleri için tebrik etmek isterim.,https://tgoyemek.com/restoranlar/148917,içeceklerin hepsi yanlış geldi. pizza soğuktu. fişin önemini özellikle belirtmeme rağmen gelmedi. pizzayı doğru gönderdikleri için tebrik etmek isterim.
Milano Pizza (Maslak),Hiç güzel değildi puana aldanmayın aç oldugum icin yedim sıfır tat. Ayrıca cheesecake istedim san sabastian yollamıssınkz hayal kırıklığına uğradım. Ve kurye de ne bicimdi öyle hic yüzüme bakmadı,https://tgoyemek.com/restoranlar/195863,Hiç güzel değildi puana aldanmayın aç oldugum icin yedim sıfır tat. Ayrıca cheesecake istedim san sabastian yollamıssınkz hayal kırıklığına uğradım. Ve kurye de ne bicimdi öyle hic yüzüme bakmadı
Milano Pizza (Maslak),Bonfile Salata etleri o kadar sertti ki dişlerim kırılacaktı. Ama miktar boldu Allah var.,https://tgoyemek.com/restoranlar/195863,Bonfile Salata etleri o kadar sertti ki dişlerim kırılacaktı. Ama miktar boldu Allah var.
Milano Pizza (Maslak),çıtır tavuklar harika,https://tgoyemek.com/restoranlar/195863,çıtır tavuklar harika
Milano Pizza (Maslak),Her zamanki gibi mükemmel lezzetli ve sımsıcak,https://tgoyemek.com/restoranlar/195863,Her zamanki gibi mükemmel lezzetli ve sımsıcak
Milano Pizza (Maslak),"Kullanılan malzemeler çok kaliteli ama bunları hiç birleştirmemişsiniz maşallah aşçımızında elinden hiçbirşey gelmiyor hesabı bu,ayrıca koca pizza söyledik yanınada içecek onuda göndermemişsiniz birde meni içerisinden söyledim yani biraz uzattım ama yazmasam olmaz sufle bildiğiniz çikolatalı kek gibiydi akışkan dediğiniz çikolata yarına akmışolurm",https://tgoyemek.com/restoranlar/195863,"Kullanılan malzemeler çok kaliteli ama bunları hiç birleştirmemişsiniz maşallah aşçımızında elinden hiçbirşey gelmiyor hesabı bu,ayrıca koca pizza söyledik yanınada içecek onuda göndermemişsiniz birde meni içerisinden söyledim yani biraz uzattım ama yazmasam olmaz sufle bildiğiniz çikolatalı kek gibiydi akışkan dediğiniz çikolata yarına akmışolurm"
Milano Pizza (Maslak),Çok güzel,https://tgoyemek.com/restoranlar/195863,Çok güzel
Milano Pizza (Maslak),Sıcacık teslimat yapıldı lezzeti güzeldi porsiyon küçüktü,https://tgoyemek.com/restoranlar/195863,Sıcacık teslimat yapıldı lezzeti güzeldi porsiyon küçüktü
Milano Pizza (Maslak),Pizzanızı beğendim. Ama malzemeler biraz daha fazla olabilir. Bol peynirli olması çok güzel. Yalnız peyniriniz biraz tuzlu. Pizza hamuru ise çok iyi. 🤗,https://tgoyemek.com/restoranlar/195863,Pizzanızı beğendim. Ama malzemeler biraz daha fazla olabilir. Bol peynirli olması çok güzel. Yalnız peyniriniz biraz tuzlu. Pizza hamuru ise çok iyi. 🤗
Milano Pizza (Maslak),Asla fiyat performans değil,https://tgoyemek.com/restoranlar/195863,Asla fiyat performans değil
Milano Pizza (Maslak),Sipariş verdiğim ürün yanlış geldi ve aşırı bayat,https://tgoyemek.com/restoranlar/195863,Sipariş verdiğim ürün yanlış geldi ve aşırı bayat
Milano Pizza (Maslak),Siparişimi 14.43 de verdim siparişim 15.55 de teslim edildi. Birde siparişim teslimat süresi dolunca teslim edildi gösterdiler ben aradığımda da bana yanlışlık oldu beş dakikaya geliyor denildi ve daha sonra siparişim geldi. Sipariş gecikti göstermemek için böyle bir şey yapılmasını çok yanlış buluyorum. Bir yemek siparişi 1 saaat 12 dakika sürmez,https://tgoyemek.com/restoranlar/195863,Siparişimi 14.43 de verdim siparişim 15.55 de teslim edildi. Birde siparişim teslimat süresi dolunca teslim edildi gösterdiler ben aradığımda da bana yanlışlık oldu beş dakikaya geliyor denildi ve daha sonra siparişim geldi. Sipariş gecikti göstermemek için böyle bir şey yapılmasını çok yanlış buluyorum. Bir yemek siparişi 1 saaat 12 dakika sürmez
Milano Pizza (Maslak),Zeytin ve toka için ek ücret Ödemiş olmama rağmen pizzaya eklenmemiş ve eksik gönderilmiştir,https://tgoyemek.com/restoranlar/195863,Zeytin ve toka için ek ücret Ödemiş olmama rağmen pizzaya eklenmemiş ve eksik gönderilmiştir
Milano Pizza (Maslak),"pizzası, bildiğimiz birçok zincir pizzacılarından iyi. sadece kullanılan kaşarın tadını sevmedim sıradan market kaşarlarındandı. ama malzeme boldu. kuru pide yemiyorsunuz. patates kızartması tuzsuz ve tatsızdı yanında ketçap mayonez yollamamışlardı. ben genel olarak beğendim yine sipariş veririm",https://tgoyemek.com/restoranlar/195863,"pizzası, bildiğimiz birçok zincir pizzacılarından iyi. sadece kullanılan kaşarın tadını sevmedim sıradan market kaşarlarındandı. ama malzeme boldu. kuru pide yemiyorsunuz. patates kızartması tuzsuz ve tatsızdı yanında ketçap mayonez yollamamışlardı. ben genel olarak beğendim yine sipariş veririm"
Milano Pizza (Maslak),harika tadı ve çok hızli ve sıcak geldi,https://tgoyemek.com/restoranlar/195863,harika tadı ve çok hızli ve sıcak geldi
Milano Pizza (Maslak),pizza çok büyük tü mega boy söyledik sadece havadan dolayı soğuk geldi,https://tgoyemek.com/restoranlar/195863,pizza çok büyük tü mega boy söyledik sadece havadan dolayı soğuk geldi
Milano Pizza (Maslak),Çok sıcak çok lezzetli ve doyurucu,https://tgoyemek.com/restoranlar/195863,Çok sıcak çok lezzetli ve doyurucu
Milano Pizza (Maslak),Aşırı hızlı ve lezzetli.,https://tgoyemek.com/restoranlar/195863,Aşırı hızlı ve lezzetli.
Milano Pizza (Maslak),Pizza Pesto her zaman severek sipariş ettiğim bir pizza ancak ödemesini yaptığım Özel Milano Sos gelmedi,https://tgoyemek.com/restoranlar/195863,Pizza Pesto her zaman severek sipariş ettiğim bir pizza ancak ödemesini yaptığım Özel Milano Sos gelmedi
Milano Pizza (Maslak),Efsaneee efsaneeeeeeeee,https://tgoyemek.com/restoranlar/195863,Efsaneee efsaneeeeeeeee
Milano Pizza (Maslak),"Sürekli sipariş veriyorum hızlı teslimat ve sıcak ürün gönderdiği için son 3 siparişim hem geç geldi hem üzeri tam pişmemiş tuzsuz lezzetsizdi , tekrar aırfyr koyup pişirmek zorunda kaldım tam pişmemişti, ilk siparşlerde özen gösterip sonrasın da hizmet kalitesini düşürüyorlar bu hiç etik değil .",https://tgoyemek.com/restoranlar/195863,"Sürekli sipariş veriyorum hızlı teslimat ve sıcak ürün gönderdiği için son 3 siparişim hem geç geldi hem üzeri tam pişmemiş tuzsuz lezzetsizdi , tekrar aırfyr koyup pişirmek zorunda kaldım tam pişmemişti, ilk siparşlerde özen gösterip sonrasın da hizmet kalitesini düşürüyorlar bu hiç etik değil ."
Pizza Station (Seyrantepe),Lezzetine hiç şüphe yok ama biraz daha sıcak olabilirdi.,https://tgoyemek.com/restoranlar/300568,Lezzetine hiç şüphe yok ama biraz daha sıcak olabilirdi.
Pizza Station (Seyrantepe),Malzemeleri gayet iyi. Fiyatı da uygun. Kesinlikle tavsiye ederim. Kuryeme de çok teşekkür ederim.,https://tgoyemek.com/restoranlar/300568,Malzemeleri gayet iyi. Fiyatı da uygun. Kesinlikle tavsiye ederim. Kuryeme de çok teşekkür ederim.
Pizza Station (Seyrantepe),Korkunç derecede soğuk geldi 55 dakika bekledim soğuk pizza için..,https://tgoyemek.com/restoranlar/300568,Korkunç derecede soğuk geldi 55 dakika bekledim soğuk pizza için..
Pizza Station (Seyrantepe),ÜCRETİYLE EKSTRA SUCUK ekletmeme rağmen sağ olsunlar içinden tam tersi sucuk almışlar ben ne anladım bu işten ? Fotoğrafı var isterseniz atabilirim.,https://tgoyemek.com/restoranlar/300568,ÜCRETİYLE EKSTRA SUCUK ekletmeme rağmen sağ olsunlar içinden tam tersi sucuk almışlar ben ne anladım bu işten ? Fotoğrafı var isterseniz atabilirim.
Pizza Station (Seyrantepe),Orta boy pizza yediğim en küçük orta boy pizzaydi. Pizzalarin(özellikle sosisli olanın) tatları tuhaftı sakın sipariş vermeyin.,https://tgoyemek.com/restoranlar/300568,Orta boy pizza yediğim en küçük orta boy pizzaydi. Pizzalarin(özellikle sosisli olanın) tatları tuhaftı sakın sipariş vermeyin.
Pizza Station (Seyrantepe),Ben gayet memnun kaldım çok teşekkürler kurye arkadaşa da teşekkürler,https://tgoyemek.com/restoranlar/300568,Ben gayet memnun kaldım çok teşekkürler kurye arkadaşa da teşekkürler
Pizza Station (Seyrantepe),10 numara pizza💯,https://tgoyemek.com/restoranlar/300568,10 numara pizza💯
Pizza Station (Seyrantepe),ranch sos var fişte ama pakette maalesef yoktu,https://tgoyemek.com/restoranlar/300568,ranch sos var fişte ama pakette maalesef yoktu
Pizza Station (Seyrantepe),yeni favorim olur kendileri ellerinize sağlık mükemmel ♥️,https://tgoyemek.com/restoranlar/300568,yeni favorim olur kendileri ellerinize sağlık mükemmel ♥️
Pizza Station (Seyrantepe),Çok lezzetli fakat biraz soğuk geldi,https://tgoyemek.com/restoranlar/300568,Çok lezzetli fakat biraz soğuk geldi
Pizza Station (Seyrantepe),lezzetli her seferinde severek söylüyorum,https://tgoyemek.com/restoranlar/300568,lezzetli her seferinde severek söylüyorum
Pizza Station (Seyrantepe),Füme etli istediğimiz pizza yanlış geldi onun dışında pizzanın tadı gayet iyiydi,https://tgoyemek.com/restoranlar/300568,Füme etli istediğimiz pizza yanlış geldi onun dışında pizzanın tadı gayet iyiydi
Pizza Station (Seyrantepe),"hamurunu inceliği ve pişme oranı çok kıvamında olmuş, içerik de taze ve lezzetliydi sos da uyumlu, pizza boyutu da ideal tek kişi zorla bitirdim,bu civarda benim listemde ilk sıraya oturdu",https://tgoyemek.com/restoranlar/300568,"hamurunu inceliği ve pişme oranı çok kıvamında olmuş, içerik de taze ve lezzetliydi sos da uyumlu, pizza boyutu da ideal tek kişi zorla bitirdim,bu civarda benim listemde ilk sıraya oturdu"
Pizza Station (Seyrantepe),Gayet iyiydi,https://tgoyemek.com/restoranlar/300568,Gayet iyiydi
Pizza Station (Seyrantepe),Pizzalarını çok seviyorum. Özellikle soslarla beraber bayılıyorum ve sadece buradan sipariş veriyorum. Ama soslarımdan biri yine eksik geldi. Yinede teşekkürler,https://tgoyemek.com/restoranlar/300568,Pizzalarını çok seviyorum. Özellikle soslarla beraber bayılıyorum ve sadece buradan sipariş veriyorum. Ama soslarımdan biri yine eksik geldi. Yinede teşekkürler
Pizza Station (Seyrantepe),Elinize sağlık çok güzeldi,https://tgoyemek.com/restoranlar/300568,Elinize sağlık çok güzeldi
Pizza Station (Seyrantepe),Ürün buz gibi geldi. Pizza üzerindeki herşey düşmüştü. Kurye zaten başka bir yere paket atıp geldi sanırım.,https://tgoyemek.com/restoranlar/300568,Ürün buz gibi geldi. Pizza üzerindeki herşey düşmüştü. Kurye zaten başka bir yere paket atıp geldi sanırım.
Pizza Station (Seyrantepe),Güvenliğin uyarısına rağmen sitenin bahçesine siparişim bırakılmış ve güvenlik sayesinde bilgim oluyor !,https://tgoyemek.com/restoranlar/300568,Güvenliğin uyarısına rağmen sitenin bahçesine siparişim bırakılmış ve güvenlik sayesinde bilgim oluyor !
Pizza Station (Seyrantepe),füme etli pizza söylememize rağmen füme et konulmamıştı düz Margarita Pizza geldi ücret iadesi olması lazım,https://tgoyemek.com/restoranlar/300568,füme etli pizza söylememize rağmen füme et konulmamıştı düz Margarita Pizza geldi ücret iadesi olması lazım
Pizza Station (Seyrantepe),"cok iyiydi, elinize saglik",https://tgoyemek.com/restoranlar/300568,"cok iyiydi, elinize saglik"
Pizzam Express (Seyrantepe),güzel seviyoruz biz,https://tgoyemek.com/restoranlar/300578,güzel seviyoruz biz
Pizzam Express (Seyrantepe),Hızlı ve sıcak geldi bu fiyata 10/10 kuponla falan zaten minimuma düşüyor bu kadar kötü yorumu hakettigini düşünmüyorum,https://tgoyemek.com/restoranlar/300578,Hızlı ve sıcak geldi bu fiyata 10/10 kuponla falan zaten minimuma düşüyor bu kadar kötü yorumu hakettigini düşünmüyorum
Pizzam Express (Seyrantepe),Lezzet sıfır,https://tgoyemek.com/restoranlar/300578,Lezzet sıfır
Pizzam Express (Seyrantepe),altı biraz fazla yanmisti ama yinede hersey cok guzeldi.tam istedigim gibiydi.tsk,https://tgoyemek.com/restoranlar/300578,altı biraz fazla yanmisti ama yinede hersey cok guzeldi.tam istedigim gibiydi.tsk
Pizzam Express (Seyrantepe),jalepenio istemistim pizzada koyulmamis,https://tgoyemek.com/restoranlar/300578,jalepenio istemistim pizzada koyulmamis
